Nepali name,English name,North,East
aa/dxn,Babarmahal,27.695346,85.322307
eb|sfnL,Bhadrakali,27.69565,85.319392
e}+;]kf6L,Bhaisepati,27.651753,85.305649
,bhaktapur,27.674787,85.427957
af}4,Boudha,27.717915,85.349239
a'9flgns07,Budanilkantha,27.767482,85.366681
rfkfufpF,Chapagaun,27.59312,85.326506
b/jf/dfu{,Durbar Marg,27.712501,85.318126
u¶f3/,Gatthaghar,27.677447,85.374277
uf}zfnf,Gaushala,27.708949,85.3466
hg;]jf,Janasewa,27.673343,85.274479
hfjnfv]n,Jawlakhel,27.674806,85.312182
sn+sL,Kalanki,27.693579,85.280875
sfnLdf6L,Kalimati,27.701274,85.28909
sdnkf]v/L,Kamalpokhari,27.711267,85.325185
skg,Kapan,27.738162,85.359894
lslt{k'/,Kirtipur,27.669846,85.28186
sf]6]Zj/,Koteshowr,27.677067,85.345818
dxf/fhu+h,Maharajganj,27.737479,85.330589
d}ltb]jL,Maitedevi,27.705738,85.334841
dfO{lt3/,Maitighar,27.693275,85.324821
d+unahf/,Mangal Bazar,27.675585,85.327929
gfu9'Ëf,Naagdhunga,27.712102,85.209167
gofFa;kfs{,New Buspark,27.732313,85.308148
kbdf]bo,Padmodaya,27.701806,85.321881
kmlk{Ë,Pharping,27.613733,85.264371
k'tnL;8s,Putalisadak,27.706118,85.322761
;ftbf]af6f],Saatdobato,27.65297,85.32745
;efu[x,Sabha Griha,27.702846,85.317195
;fg]kf,Sanepa,27.685428,85.306042
z+s/b]j,Shankerdev,27.704504,85.322264
l;+xb/jf/,Singhadurbar,27.699374,85.322478
;|f]xv',Sorakhutte,27.718903,85.309199
;'s]wf/f,Sukedhara,27.729198,85.345996
:joDe',Syambhu,27.720157,85.295442
7d]n,Thamel,27.716946,85.311624
yfgsf]6,Thankot,27.688772,85.202137
yfkfynL,Thapathali,27.693636,85.31892
Po/kf]6{,TI Airport,27.69888,85.359121
